Name,gwp20,loggwp20,gwp100,loggwp100,gwp500,loggwp500,smiles
"1,2-dichloropropene ",0.001,-3,0.001,-3,0.001,-3,C/C(Cl)=C/Cl
"1,3-dichloropropene (E) ",0.001,-3,0.001,-3,0.001,-3,Cl/C=C/CCl
"1,3-dichloropropene (Z) ",0.001,-3,0.001,-3,0.001,-3,Cl/C=C\CCl
"3,4-dichloro-1-butene",0.001,-3,0.001,-3,0.001,-3,C=CC(Cl)CCl
"Hexachloro-1,3-butadiene ",0.001,-3,0.001,-3,0.001,-3,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl
"Hexachloro-1,3-cyclopentadiene ",0.001,-3,0.001,-3,0.001,-3,ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl
Chlorobenzene ,1,0,0.1,-1,0.001,-3,Clc1ccccc1
"1,4-dichlorobenzene ",4,0.602059991,1,0.1,0.1,-1,Clc1ccc(Cl)cc1
"1,3-dichlorobenzene ",1,0,0.1,-1,0.001,-3,Clc1cccc(Cl)c1
"1,2-dichlorobenzene",2,0.301029996,0.1,-1,0.1,-1,Clc1ccccc1Cl
1-chloro-4-methylbenzene ,2,0.301029996,0.1,-1,0.1,-1,Cc1ccc(Cl)cc1
1-chloro-3-methylbenzene ,2,0.301029996,0.1,-1,0.1,-1,Cc1cccc(Cl)c1
1-chloro-2-methylbenzene ,1,0,0.1,-1,0.001,-3,Cc1ccccc1Cl
Benzyl chloride ,2,0.301029996,0.1,-1,0.1,-1,ClCc1ccccc1
"1,2-dichloro-3-(trichloromethyl)-benzene (DCTCB)",25,1.397940009,7,0.84509804,2,0.301029996,Clc1cccc(C(Cl)(Cl)Cl)c1Cl
CFO-1113 Chlorotrifluoroethene ,0.001,-3,0.001,-3,0.001,-3,FC(F)=C(F)Cl
"(Z)-1,2-fluorochloroethene",0.001,-3,0.001,-3,0.001,-3,F/C=C\Cl
fluorotrichloroethylene,0.001,-3,0.001,-3,0.001,-3,FC(Cl)=C(Cl)Cl
"1-chloro-2,3,3,3-tetrafluoropro-(E); (E)-HCFO-1224yd",2,0.301029996,0.1,-1,0.1,-1,FC(=CCl)C(F)(F)F
"HCFO-1233xf  (2-chloro-3,3,3-fluoro-1-propene)",16,1.204119983,4,0.602059991,1,0,C=C(Cl)C(F)(F)F
"CFO-1215yc  (3-chloro-1,1,2,3,3-fluoro-1-propene)",0.1,-1,0.1,-1,0.001,-3,FC(F)=C(F)C(F)(F)Cl
"3,3-dichloro-1,1,1,2-tetrafluoro-propene ",2,0.301029996,0.1,-1,0.1,-1,FC(=C(Cl)Cl)C(F)(F)F
"1,2-dichloro-3,3,3-trifluoro-propene (Z)",8,0.903089987,2,0.301029996,0.1,-1,FC(F)(F)C(Cl)=CCl
"CFO-1316yff  (4,4-dichloro-1,1,2,3,3,4-fluoro-1-butene)",0.1,-1,0.1,-1,0.001,-3,FC(F)=C(F)C(F)(F)C(F)(Cl)Cl
p-chlorobenzotrifluoride ,25,1.397940009,7,0.84509804,2,0.301029996,FC(F)(F)c1ccc(Cl)cc1
Bromodichloromethane ,6,0.77815125,2,0.301029996,0.1,-1,ClC(Cl)Br
 Dibromochloromethane ,2,0.301029996,0.1,-1,0.1,-1,ClC(Br)Br
Halon-2402 isomer ,4420,3.645422269,2360,3.372912003,695,2.841984805,FC(F)(F)C(F)(Br)Br
Bromoethene ,2,0.301029996,0.1,-1,0.1,-1,C=CBr
Bromothrifluoroethene ,0.001,-3,0.001,-3,0.001,-3,FC(F)=C(F)Br
"1-bromo-2,2-fluoroethene ",0.001,-3,0.001,-3,0.001,-3,FC(F)=CBr
3-bromo-1-propene ,0.1,-1,0.1,-1,0.001,-3,C=CCBr
"2-bromo-3,3,3-fluoro-1-propene",0.1,-1,0.001,-3,0.001,-3,C=C(Br)C(F)(F)F
"2-bromo-3,3,4,4,4-fluoro-1-butene ",0.1,-1,0.001,-3,0.001,-3,C=C(Br)C(F)(F)C(F)(F)F
"4-bromo-3,3,4,4-fluoro-1-butene ",0.1,-1,0.1,-1,0.001,-3,C=CC(F)(F)C(F)(F)Br
Benzyl bromide ,0.1,-1,0.001,-3,0.001,-3,BrCc1ccccc1
"4-bromo-3-chloro-3,4,4-trifluoro-1-butene",0.1,-1,0.001,-3,0.001,-3,C=CC(F)(Cl)C(F)(F)Br
